$$,Id_actividad,nombre,grado,sesion,bloque,bateria,status_actividad,reg_status,created_by,created_date,last_update_by,last_update_date,id_lectura,id_actividad_tipo,id_actividad_categoria,&&
$$,1,Sesión de inicio grado 1,1,1,1,1,activa,activo,developer,2021-10-10,developer,2021-10-10,null,1,1,&&
$$,2,Evaluación diagnóstica grado 1,1,2,1,1,activa,activo,developer,2021-10-11,developer,2021-10-11,null,2,2,&&
$$,3,Credencial escolar,1,3,1,1,activa,activo,developer,2021-10-12,developer,2021-10-12,1,3,3,&&
$$,4,De que esta hecho el universo,1,4,1,1,activa,activo,developer,2021-10-13,developer,2021-10-13,2,3,4,&&
$$,5,Los tipos de color,1,5,1,1,activa,activo,developer,2021-10-14,developer,2021-10-14,3,3,4,&&
$$,6,Flix el elefante,1,6,1,1,activa,activo,developer,2021-10-15,developer,2021-10-15,4,3,4,&&
$$,7,Una familia peculiar,1,7,1,1,activa,activo,developer,2021-10-16,developer,2021-10-16,5,3,4,&&
$$,8,Conjuntos,1,8,1,1,activa,activo,developer,2021-10-17,developer,2021-10-17,6,3,4,&&
$$,9,Todos queremos lo mismo,1,9,1,1,activa,activo,developer,2021-10-18,developer,2021-10-18,7,3,4,&&
$$,10,Diferentes representaciones de los numeros,1,10,1,1,activa,activo,developer,2021-10-19,developer,2021-10-19,8,3,4,&&
$$,11,El viaje de la papa,1,11,1,1,activa,activo,developer,2021-10-20,developer,2021-10-20,9,3,4,&&
$$,12,Se reabre el telon,1,12,1,1,activa,activo,developer,2021-10-21,developer,2021-10-21,10,3,4,&&
$$,13,Sin importar las diferencias,1,13,1,1,activa,activo,developer,2021-10-22,developer,2021-10-22,11,3,4,&&
$$,14,¡Manos limpias!,1,14,1,1,activa,activo,developer,2021-10-23,developer,2021-10-23,12,3,5,&&
$$,15,El espanol una lengua con hambre,1,15,1,1,activa,activo,developer,2021-10-24,developer,2021-10-24,13,3,4,&&
$$,16,De panza pa arriba,1,16,1,1,activa,activo,developer,2021-10-25,developer,2021-10-25,14,3,4,&&
